City,Latitude,Longitude,State,Zip_Prefix
abadia de goias,-16.76645713323428,-49.43420978223543,GO,75345
abadia dos dourados,-18.491105178939936,-47.39826562372559,MG,38540
abadiania,-16.19429786829193,-48.71111290947108,GO,72940
abaete,-19.16050583709177,-45.45377571289521,MG,35620
abaetetuba,-1.72443104027005,-48.886307075047846,PA,68440
abaiara,-7.3414919999999455,-39.02446249999997,CE,63240
abaira,-13.250584431044702,-41.66252498498597,BA,46690
abare,-8.630502028365651,-39.246734317292464,BA,48680
abatia,-23.301010853579836,-50.31528949823455,PR,86460
abdon batista,-27.612545793229646,-51.02269606144874,SC,89636
abel figueiredo,-4.950512264087866,-48.394803057418834,PA,68527
abelardo luz,-26.564002571112706,-52.327486999739875,SC,89830
abrantes,-12.824629999999956,-38.255469999999946,BA,42840
abre campo,-20.30145749999999,-42.478112249999995,MG,35365
abreu e lima,-7.924953839156659,-34.92287712872267,PE,53540
abreu e lima,-7.917011030905907,-34.93042406634145,PE,53530
abreu e lima,-7.9146917204772995,-34.910678322420374,PE,53545
abreu e lima,-7.910083220560221,-34.90779484809339,PE,53520
abreu e lima,-7.90866771521404,-34.9103331831568,PE,53550
abreu e lima,-7.908657579565388,-34.903798895478474,PE,53525
abreu e lima,-7.904820594494846,-34.90300157216225,PE,53565
abreu e lima,-7.904689070251823,-34.89919935084254,PE,53510
abreu e lima,-7.9033253782964845,-34.9008210364995,PE,53580
abreu e lima,-7.901611061890484,-34.90870078172417,PE,53560
abreu e lima,-7.896829999999966,-34.90543959299998,PE,53585
abreu e lima,-7.891193501009601,-34.92236191326677,PE,53570
abreulândia,-9.622442657403377,-49.149720300911845,TO,77693
abreus,-18.977746375609975,-48.269237984590916,MG,36263
acaiaca,-20.363779437373534,-43.14662318269655,MG,35438
acailandia,-4.9582317881599876,-47.49347642059122,MA,65930
acajutiba,-11.660666822858126,-38.02832537258878,BA,48360
acará,-1.9580135458840857,-48.19874184399108,PA,68690
acarape,-4.222732936153638,-38.70845220637193,CE,62785
acarau,-2.8816794321367136,-40.1219269778827,CE,62580
acari,-6.438178995948138,-36.637361179193604,RN,59370
acauã,-8.221232314232498,-41.07740644501662,PI,64748
acegua,-31.696598999999946,-54.16378549999996,RS,96445
acioli,-19.655909222582128,-40.46336507540551,ES,29687
acopiara,-6.095436548034048,-39.4520284644102,CE,63560
