Sum of freight_value,order_id,Sum of order_item_id,Sum of price,product_id,seller_id,Year,Quarter,Month,Day,Total_Item_Value
13.29,00010242fe8c5a6d1ba2dd792cb16214,1,58.9,4244733e06e7ecb4970a6e2683c13e61,48436dade18ac8b2bce089ec2a041202,2017,Qtr 3,September,19,45.61
19.93,00018f77f2f0320c557190d7a144bdd3,1,239.9,e5f2d52b802189ee658865ca93d83a8f,dd7ddc04e1b6c2c614352b383efe2d36,2017,Qtr 2,May,3,219.97
17.87,000229ec398224ef6ca0657da4fc703e,1,199,c777355d18b72b67abbeef9df44fd0fd,5b51032eddd242adc84c38acab88f23d,2018,Qtr 1,January,18,181.13
12.79,00024acbcdf0a6daa1e931b038114c75,1,12.99,7634da152a4610f1595efa32f14722fc,9d7a1d34a5052409006425275ba1c2b4,2018,Qtr 3,August,15,0.2
18.14,00042b26cf59d7ce69dfabb4e55b4fd9,1,199.9,ac6c3623068f30de03045865e4e10089,df560393f3a51e74553ab94004ba5c87,2017,Qtr 1,February,13,181.76
12.69,00048cc3ae777c65dbb7d2a0634bc1ea,1,21.9,ef92defde845ab8450f9d70c526ef70f,6426d21aca402a131fc0a5d0960a3c90,2017,Qtr 2,May,23,9.21
11.85,00054e8431b9d7675808bcb819fb4a32,1,19.9,8d4f2bb7e93e6710a28f34fa83ee7d28,7040e82f899a04d1b434b795a43b4617,2017,Qtr 4,December,14,8.05
70.75,000576fe39319847cbb9d288c5617fa6,1,810,557d850972a7d6f792fd18ae1400d9b6,5996cddab893a4652a15592fb58ab8db,2018,Qtr 3,July,10,739.25
11.65,0005a1a1728c9d785b8e2b08b904576c,1,145.95,310ae3c140ff94b03219ad0adc3c778f,a416b6a846a11724393025641d4edd5e,2018,Qtr 1,March,26,134.3
11.4,0005f50442cb953dcd1d21e1fb923495,1,53.99,4535b0e1091c278dfd193e5a1d63b39f,ba143b05f0110f0dc71ad71b4466ce92,2018,Qtr 3,July,6,42.59
8.88,00061f2a7bc09da83e415a52dc8a4af1,1,59.99,d63c1011f49d98b976c352955b1c4bea,cc419e0650a3c5ba77189a1882b7556a,2018,Qtr 1,March,29,51.11
12.98,00063b381e2406b52ad429470734ebd5,1,45,f177554ea93259a5b282f24e33f65ab6,8602a61d680a10a82cceeeda0d99ea3d,2018,Qtr 3,July,31,32.02
23.32,0006ec9db01a64e59a68b2c340bf65a7,1,74,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,2018,Qtr 3,July,26,50.68
26.74,0008288aa423d2a3f00fcb17cd7d8719,3,99.8,368c6c730842d78016ad823897a372db,1f50f920176fa81dab994f9023523100,2018,Qtr 1,February,21,36.53
27.65,0009792311464db532ff765bf7b182ae,1,99.9,8cab8abac59158715e0d70a36c807415,530ec6109d11eaaf87999465c6afee01,2018,Qtr 3,August,17,72.25
11.34,0009c9a17f916a706d71784483a5d643,1,639,3f27ac8e699df3d300ec4a5d8c5cf0b2,fcb5ace8bcc92f75707dc0f01a27d269,2018,Qtr 2,May,2,627.66
8.77,000aed2e25dbad2f9ddb70584c5a2ded,1,144,4fa33915031a8cde03dd0d3e8fb27f01,fe2032dab1a61af8794248c8196565c9,2018,Qtr 2,May,16,135.23
13.71,000c3e6612759851cc3cbb4b83257986,1,99,b50c950aba0dcead2c48032a690ce817,218d46b86c1881d022bce9c68a7d4b15,2017,Qtr 3,August,21,85.29
16.11,000e562887b1f2006d75e0be9558292e,1,25,5ed9eaf534f6936b51d0b6c5e4d5c2e9,8cbac7e12637ed9cffa18c7875207478,2018,Qtr 1,February,28,8.89
8.88,000e63d38ae8c00bbcb5a30573b99628,1,47.9,553e0e7590d3116a072507a3635d2877,1c129092bf23f28a5930387c980c0dfc,2018,Qtr 1,March,29,39.02
11.85,000e906b789b55f64edcb1f84030f90d,1,21.99,57d79905de06d8897872c551bfd09358,ea8482cd71df3c1969d7b9473ff13abc,2017,Qtr 4,November,27,10.14
44.4,000f25f4d72195062c040b12dce9a18a,1,119.99,1c05e0964302b6cf68ca0d15f326c6ba,7c67e1448b00f6e969d365cea6b010ab,2018,Qtr 1,March,21,75.59
15.1,001021efaa8636c29475e7734483457d,1,49,5d7c23067ed3fc8c6e699b9373d5890b,6560211a19b47992c3666cc44a7e94c0,2018,Qtr 1,March,5,33.9
16.6,0010b2e5201cc5f1ae7e9c6cc8f5bd00,1,48.9,5a419dbf24a8c9718fe522b81c69f61a,3504c0cb71d7fa48d967e0e4c94d59d9,2017,Qtr 3,September,15,32.3
16.98,00119ff934e539cf26f92b9ef0cdfed8,1,219.9,21b1c2f67a9aafb5af0eb06c13b9dbda,c864036feaab8c1659f65ea4faebe1da,2017,Qtr 3,August,11,202.92
26.33,0011d82c4b53e22e84023405fb467e57,1,289,c389f712c4b4510bc997cee93e8b1a28,bfd27a966d91cfaafdb25d076585f0da,2018,Qtr 1,January,29,262.67
25.51,00125cb692d04887809806618a2a145f,1,109.9,1c0c0093a48f13ba70d0c6b0a9157cb7,41b39e28db005d9731d9d485a83b4c38,2017,Qtr 1,March,29,84.39
7.94,00130c0eee84a3d909e75bc08c5c3ca1,1,27.9,89321f94e35fc6d7903d36f74e351d40,16090f2ca825584b5a147ab24aa30c86,2018,Qtr 2,June,14,19.96
17.32,0013503b13da1eac686219390b7d641b,1,119.9,38afdf723b95d455b418a0f57d623c6b,1554a68530182680ad5c8b042c3ab563,2017,Qtr 4,December,13,102.58
24.65,00137e170939bba5a3134e2386413108,1,397,672e757f331900b9deea127a2a7b79fd,e59aa562b9f8076dd550fcddf0e73491,2017,Qtr 4,November,30,372.35
23.35,001427c0ec99cf8af737bd88e92fd444,1,59.9,28b4eced95a52d9c437a4caf9d311b95,77530e9772f57a62c906e1c21538ab82,2018,Qtr 2,April,12,36.55
45.3,00143d0f86d6fbd9f9b38ab440ac16f5,6,63.989999999999995,e95ee6822b66ac6058e2e4aff656071a,a17f621c590ea0fab3d5d883e1630ec6,2017,Qtr 4,October,20,6.23
14.1,0014ae671de39511f7575066200733b7,1,16.5,23365beed316535b4105bd800c46670e,92eb0f42c21942b6552362b9b114707d,2017,Qtr 2,May,29,2.4
15.1,0015ebb40fb17286bea51d4607c4733c,1,21.9,50fd2b788dc166edd20512370dac54df,8b321bb669392f5163d04c59e235e066,2018,Qtr 1,January,18,6.8
16.11,00169e31ef4b29deaae414f9a5e95929,1,39,b10eba910a974df70b8a12d0665cdb9e,a3e9a2c700480d9bb01fba070ba80a0e,2018,Qtr 1,January,23,22.89
20.8,0016dfedd97fc2950e388d2971d718c7,1,49.75,4089861a1bd4685da70bddd6b4f974f1,a35124e2d763d7ca3fbe3b97d143200f,2017,Qtr 2,May,5,28.95
44.29,0017afd5076e074a48f1f1a4c7bac9c5,1,809.1,fe59a1e006df3ac42bf0ceb876d70969,25c5c91f63607446a97b143d2d535d31,2017,Qtr 2,April,24,764.81
13.72,001862358bf858722e1e2ae000cfed8b,1,99.99,c6dd917a0be2a704582055949915ab32,7a67c85e85bb2ce8582c35f2203ad736,2018,Qtr 1,February,13,86.27
19.95,0019c29108428acffd089c36103c9440,1,59.9,28b4eced95a52d9c437a4caf9d311b95,77530e9772f57a62c906e1c21538ab82,2018,Qtr 1,March,12,39.95
52.89,001ab0a7578dd66cd4b0a71f5b6e1e41,6,74.67,0b0172eb0fd18479d29c3bc122c058c2,5656537e588803a555b8eb41f07a944b,2018,Qtr 1,January,4,7.26
8.54,001ac194d4a326a6fa99b581e9a3d963,1,54,dbaee28f4ee64465838a229582d77520,ffc470761de7d0232558ba5e786e57b7,2018,Qtr 3,July,10,45.46
13.01,001b76dd48a5b1eee3e87778daa40df8,1,81.99,dbb67791e405873b259e4656bf971246,9c0e69c7bf2619675bbadf47b43f655a,2018,Qtr 2,April,2,68.98
13.71,001c85b5f68d2be0cb0797afc9e8ce9a,1,99,84f456958365164420cfc80fbe4c7fab,4a3ca9315b744ce9f8e9374361493884,2017,Qtr 4,November,29,85.29
15.56,001d8f0e34a38c37f7dba2a37d4eba8b,3,37.98,e67307ff0f15ade43fcb6e670be7a74c,f4aba7c0bca51484c30ab7bdc34bcdd1,2017,Qtr 2,May,18,11.21
16.79,001daeb0eddc45b999bad0801ad9d273,1,38.33,30c01cc81c9eb80469371743813789cc,f45122a9ab94eb4f3f8953578bc0c560,2017,Qtr 2,May,25,21.54
18,001dbc16dc51075e987543d23a0507c7,1,69.9,777d2e438a1b645f3aec9bd57e92672c,4a3ca9315b744ce9f8e9374361493884,2017,Qtr 1,February,1,51.9
18.21,001e7ba991be1b19605ca0316e7130f9,1,195,884fa3cd42986ba480ea2f8ae4e25ff7,3340ef1913fb70d28420f6ceb685c339,2017,Qtr 1,March,23,176.79
15.2,001e7cf2ad6bef3ade12ebc56ceaf0f3,1,35.9,bdcf6a834e8faa30dac3886c7a58e92e,2a84855fd20af891be03bc5924d2b453,2018,Qtr 2,May,22,20.7
21.05,0020262c8a370bd5a174ea6a2a267321,1,79.5,a5341e3f8155dbb3e62323d3ea289729,ff063b022a9a0aab91bad2c9088760b7,2017,Qtr 4,December,4,58.45
15.1,0020a222f55eb79a372d0efee3cca688,1,29.99,e19ddcc85537b41f22116c8d5425ef46,8a32e327fe2c1b3511609d81aaf9f042,2017,Qtr 3,August,21,14.89
13.21,002175704e8b209f61b9ad5cfd92b60e,1,109.9,e6b6e13cf71449a457269f425b89dc74,b2ba3715d723d245138f291a6fe42594,2018,Qtr 2,April,26,96.69
16.49,00229e4e43f7a7e0b9dd819ad43268d3,1,74.9,13fcfc313dfb2217e5ee3000a702f9ef,c3cfdc648177fdbbbb35635a37472c53,2018,Qtr 2,April,10,58.41
18.23,0025081dcf9330f9a5052ae82c6ce396,1,14.95,4e3f399366b0047a572b6682f9bb166e,5f3ae9136c875522250f8184f253413a,2018,Qtr 2,April,2,'-3.28
43.11,00254baeb6c932b0a8aeead91fbd02b5,1,149.9,18901878788fec7ddc55e64d1ace8187,e8b4225284fbb02d16f200513f1f395d,2018,Qtr 2,May,14,106.79
14.1,00259a44fcad3fc0474329e925d14fc3,1,19.99,0c4d0a08f95c7b7dc5dc7402bfdafd4c,9f505651f4a6abe901a56cdc21508025,2018,Qtr 1,January,3,5.89
29.39,0025c5d1a8ca53a240ec2634bb4492ea,1,390,35537536ed2b4c561b4018bf3abf54e0,955fee9216a65b617aa5c0531780ce60,2018,Qtr 3,July,10,360.61
21.75,002611a77fe03d076285fd4ca95db77c,1,135,fe077ec80df6b4ee60bb4498d5ab1962,87142160b41353c4e5fca2360caf6f92,2018,Qtr 1,March,7,113.25
16.43,002691433f09002ac9ca0c4e8dbb8ead,1,104,430d215740da7fdda91cc938f8fd92f6,0887a9f087bcd5d9f6642b52f897fc6c,2017,Qtr 1,February,6,87.57
15.8,0026a368634b6e6f34f33b1499773a30,1,149,892832da5b05b0f54578e1f14f193c22,12b9676b00f60f3b700e83af21824c0e,2017,Qtr 4,November,10,133.2
13.46,00275bce676303c3bfd7292aefdfa223,1,279.9,6490b9f63b0b595e1c1402b46b0f50ad,99eaacc9e6046db1c82b163c5f84869f,2017,Qtr 4,December,4,266.44
23.22,00276d5c3491fbf55305e26891040df9,1,44.9,71c89e9d8fa274b017279aa322cd0e19,8f78f0903005064036736c7173a5c2ed,2018,Qtr 1,February,27,21.68
19.18,002834535f7a609a5c68266f173fa59e,1,37.99,df3655ac9aa8c6cbfa63bdd8d3b09c50,ea8482cd71df3c1969d7b9473ff13abc,2018,Qtr 3,July,26,18.81
15.31,0028de0ca693a1bb26448916a81105cc,1,29.99,059344baebbeaa42fa9f2bbe11b1583e,955fee9216a65b617aa5c0531780ce60,2018,Qtr 3,August,21,14.68
15.59,002955b0acc63d04f6724a31967e82bd,1,120,d9bdf643d95cb89844c0da1a0df1d16e,058fd0aa2bfdb2274e05e1ae971dabb6,2017,Qtr 4,December,22,104.41
21.62,0029c5db35ef291ce99d1262012e7daa,1,492.75,7614c62b86a81021243e438cfde78ccc,900ba814c251a692506d7834c1218441,2018,Qtr 3,September,3,471.13
18.54,0029f17cf0e7640c5cb6825af681303f,1,94.9,01c666c82f414c762ad21bffa56e8b49,d3dcf0604eabf0224fbd5948b5e02f69,2018,Qtr 2,May,8,76.36
21.11,002af7fa9eb99d1456bceb6a13d6fc0b,1,88.34,c2ece64199af7a53793ed9612a89a8cd,6c7d50c24b3ccd2fd83b44d8bb34e073,2018,Qtr 1,February,22,67.23
65.56,002b430ff89b3a24c31a1170acbbedea,1,199.99,cc47c0863559499f01b4cad750929d10,7a67c85e85bb2ce8582c35f2203ad736,2017,Qtr 2,June,26,134.43
